,season,matchday,date,team,result,points,rank,win_streak,lose_streak,draw_streak
1953,12,22,2015-02-08,Getafe,3,23,12,1,0,0
1951,12,22,2015-02-08,Cordoba,0,18,19,0,3,0
1958,12,22,2015-02-09,Elche,3,20,17,1,0,0
1959,12,22,2015-02-09,Vallecano,0,23,12,0,3,0
1960,12,23,2015-02-13,Almeria,1,23,15,0,0,1
1961,12,23,2015-02-13,Sociedad,1,24,12,0,0,2
1962,12,23,2015-02-14,Granada,1,19,18,0,0,1
1963,12,23,2015-02-14,Malaga,0,35,7,0,2,0
1965,12,23,2015-02-14,Sevilla,3,45,5,1,0,0
1967,12,23,2015-02-14,Espanol,3,29,8,1,0,0
1968,12,23,2015-02-14,La Coruna,0,24,12,0,1,0
1966,12,23,2015-02-14,Ath Bilbao,1,24,12,0,0,1
1964,12,23,2015-02-14,Real Madrid,3,57,1,1,0,0
1969,12,23,2015-02-14,Cordoba,0,18,20,0,4,0
1972,12,23,2015-02-15,Valencia,3,47,4,2,0,0
1970,12,23,2015-02-15,Barcelona,3,56,2,6,0,0
1971,12,23,2015-02-15,Celta,3,28,9,1,0,0
1974,12,23,2015-02-15,Levante,0,19,18,0,1,0
1976,12,23,2015-02-15,Getafe,0,23,15,0,1,0
1977,12,23,2015-02-15,Villarreal,0,41,6,0,1,0
1973,12,23,2015-02-15,Vallecano,3,26,11,1,0,0
1975,12,23,2015-02-15,Ath Madrid,0,50,3,0,1,0
1978,12,23,2015-02-16,Eibar,0,27,10,0,4,0
1979,12,23,2015-02-16,Elche,3,23,15,2,0,0
1981,12,24,2015-02-20,Espanol,0,29,9,0,1,0
1980,12,24,2015-02-20,Getafe,3,26,13,1,0,0
1986,12,24,2015-02-21,Almeria,0,23,16,0,1,0
1987,12,24,2015-02-21,Malaga,3,38,7,1,0,0
1985,12,24,2015-02-21,La Coruna,0,24,15,0,2,0
1988,12,24,2015-02-21,Valencia,3,50,4,3,0,0
1983,12,24,2015-02-21,Barcelona,0,56,2,0,1,0
1989,12,24,2015-02-21,Celta,3,31,8,2,0,0
1984,12,24,2015-02-21,Cordoba,0,18,20,0,5,0
1982,12,24,2015-02-21,Ath Madrid,3,53,3,1,0,0
1996,12,24,2015-02-22,Sevilla,0,45,5,0,1,0
1990,12,24,2015-02-22,Ath Bilbao,3,27,10,1,0,0
1997,12,24,2015-02-22,Eibar,0,27,10,0,5,0
1991,12,24,2015-02-22,Elche,0,23,16,0,1,0
1992,12,24,2015-02-22,Sociedad,3,27,10,1,0,0
1993,12,24,2015-02-22,Villarreal,3,44,6,1,0,0
1995,12,24,2015-02-22,Real Madrid,3,60,1,2,0,0
1994,12,24,2015-02-22,Vallecano,0,26,13,0,1,0
1999,12,24,2015-02-23,Granada,0,19,19,0,1,0
1998,12,24,2015-02-23,Levante,3,22,18,1,0,0
2010,12,25,2015-02-27,Espanol,3,32,8,1,0,0
2011,12,25,2015-02-27,Cordoba,0,18,20,0,6,0
2012,12,25,2015-02-28,Almeria,1,24,16,0,0,1
2013,12,25,2015-02-28,Granada,0,19,19,0,2,0
2014,12,25,2015-02-28,Malaga,3,41,7,2,0,0
2016,12,25,2015-02-28,La Coruna,1,25,15,0,0,1
2017,12,25,2015-02-28,Barcelona,3,59,2,1,0,0
2019,12,25,2015-02-28,Levante,0,22,18,0,1,0
2018,12,25,2015-02-28,Getafe,0,26,14,0,1,0
2015,12,25,2015-02-28,Vallecano,3,29,11,1,0,0
2002,12,25,2015-03-01,Sevilla,1,46,5,0,0,1
2004,12,25,2015-03-01,Ath Bilbao,3,30,10,2,0,0
2003,12,25,2015-03-01,Valencia,3,53,4,4,0,0
2000,12,25,2015-03-01,Eibar,0,27,12,0,6,0
2007,12,25,2015-03-01,Sociedad,0,27,12,0,1,0
2005,12,25,2015-03-01,Villarreal,1,45,6,0,0,1
2001,12,25,2015-03-01,Real Madrid,1,61,1,0,0,1
2006,12,25,2015-03-01,Ath Madrid,1,54,3,0,0,1
2008,12,25,2015-03-02,Celta,1,32,8,0,0,1
2009,12,25,2015-03-02,Elche,1,24,16,0,0,1
2021,12,26,2015-03-06,Eibar,0,27,14,0,7,0
2020,12,26,2015-03-06,Levante,3,25,16,1,0,0
2027,12,26,2015-03-07,Almeria,0,24,18,0,1,0
2024,12,26,2015-03-07,Granada,3,22,19,1,0,0
2028,12,26,2015-03-07,Malaga,0,41,7,0,1,0
2029,12,26,2015-03-07,Sevilla,3,49,5,1,0,0
2025,12,26,2015-03-07,La Coruna,0,25,16,0,1,0
2022,12,26,2015-03-07,Ath Bilbao,3,33,8,3,0,0
2023,12,26,2015-03-07,Elche,3,27,14,1,0,0
2026,12,26,2015-03-07,Real Madrid,0,61,2,0,1,0
2036,12,26,2015-03-08,Espanol,0,32,9,0,1,0
2034,12,26,2015-03-08,Valencia,1,54,4,0,0,1
2031,12,26,2015-03-08,Barcelona,3,62,1,2,0,0
2037,12,26,2015-03-08,Celta,0,32,9,0,1,0
2032,12,26,2015-03-08,Sociedad,3,30,11,1,0,0
2033,12,26,2015-03-08,Villarreal,3,48,6,1,0,0
2035,12,26,2015-03-08,Vallecano,0,29,12,0,1,0
2030,12,26,2015-03-08,Ath Madrid,1,55,3,0,0,2
2039,12,26,2015-03-09,Getafe,3,29,12,1,0,0
2038,12,26,2015-03-09,Cordoba,0,18,20,0,7,0
2041,12,27,2015-03-13,La Coruna,0,25,16,0,2,0
2040,12,27,2015-03-13,Valencia,3,57,3,1,0,0
2049,12,27,2015-03-14,Granada,0,22,19,0,1,0
2044,12,27,2015-03-14,Espanol,1,33,9,0,0,1
2046,12,27,2015-03-14,Ath Bilbao,3,36,8,4,0,0
2047,12,27,2015-03-14,Barcelona,3,65,1,3,0,0
2042,12,27,2015-03-14,Celta,0,32,11,0,2,0
2043,12,27,2015-03-14,Eibar,0,27,14,0,8,0
2045,12,27,2015-03-14,Vallecano,3,32,11,1,0,0
2048,12,27,2015-03-14,Ath Madrid,1,56,4,0,0,3
2050,12,27,2015-03-15,Almeria,1,25,16,0,0,1
2051,12,27,2015-03-15,Malaga,3,44,7,1,0,0
2053,12,27,2015-03-15,Sevilla,3,52,5,2,0,0
2056,12,27,2015-03-15,Levante,0,25,16,0,1,0
2057,12,27,2015-03-15,Elche,0,27,14,0,1,0
2054,12,27,2015-03-15,Villarreal,1,49,6,0,0,1
2052,12,27,2015-03-15,Real Madrid,3,64,2,1,0,0
2055,12,27,2015-03-15,Cordoba,0,18,20,0,8,0
2058,12,27,2015-03-16,Getafe,0,29,13,0,1,0
2059,12,27,2015-03-16,Sociedad,3,33,9,2,0,0
2061,12,28,2015-03-20,Valencia,3,60,3,2,0,0
2060,12,28,2015-03-20,Elche,0,27,15,0,2,0
2067,12,28,2015-03-21,Almeria,0,25,17,0,1,0
2064,12,28,2015-03-21,Granada,1,23,19,0,0,1
2071,12,28,2015-03-21,Malaga,0,44,7,0,1,0
2062,12,28,2015-03-21,Ath Bilbao,3,39,8,5,0,0
2070,12,28,2015-03-21,Celta,3,35,10,1,0,0
2069,12,28,2015-03-21,Eibar,1,28,14,0,0,1
2065,12,28,2015-03-21,Levante,0,25,17,0,2,0
2068,12,28,2015-03-21,Getafe,0,29,13,0,2,0
2066,12,28,2015-03-21,Vallecano,3,35,10,2,0,0
2063,12,28,2015-03-21,Ath Madrid,3,59,4,1,0,0
2079,12,28,2015-03-22,Sevilla,3,55,5,3,0,0
2077,12,28,2015-03-22,Espanol,1,34,12,0,0,2
2073,12,28,2015-03-22,La Coruna,1,26,16,0,0,1
2072,12,28,2015-03-22,Barcelona,3,68,1,4,0,0
2074,12,28,2015-03-22,Sociedad,3,36,9,3,0,0
2075,12,28,2015-03-22,Villarreal,0,49,6,0,1,0
2076,12,28,2015-03-22,Real Madrid,0,64,2,0,1,0
2078,12,28,2015-03-22,Cordoba,0,18,20,0,9,0
2080,12,29,2015-04-03,Eibar,0,28,14,0,1,0
2081,12,29,2015-04-03,Vallecano,3,38,9,3,0,0
2082,12,29,2015-04-04,Almeria,0,25,18,0,2,0
2084,12,29,2015-04-04,Malaga,1,45,7,0,0,1
2085,12,29,2015-04-04,Sevilla,3,58,5,4,0,0
2089,12,29,2015-04-04,Ath Bilbao,0,39,8,0,1,0
2086,12,29,2015-04-04,Levante,3,28,14,1,0,0
2088,12,29,2015-04-04,Sociedad,1,37,10,0,0,1
2083,12,29,2015-04-04,Cordoba,0,18,20,0,10,0
2087,12,29,2015-04-04,Ath Madrid,3,62,3,2,0,0
2096,12,29,2015-04-05,Granada,0,23,19,0,1,0
2095,12,29,2015-04-05,La Coruna,0,26,17,0,1,0
2093,12,29,2015-04-05,Valencia,1,61,4,0,0,1
2094,12,29,2015-04-05,Barcelona,3,71,1,5,0,0
2090,12,29,2015-04-05,Celta,0,35,11,0,1,0
2091,12,29,2015-04-05,Getafe,3,32,13,1,0,0
2097,12,29,2015-04-05,Villarreal,1,50,6,0,0,1
2092,12,29,2015-04-05,Real Madrid,3,67,2,1,0,0
2098,12,29,2015-04-06,Espanol,1,35,11,0,0,3
2099,12,29,2015-04-06,Elche,1,28,14,0,0,1
2104,12,30,2015-04-07,Malaga,0,45,7,0,1,0
2105,12,30,2015-04-07,Sevilla,3,61,5,5,0,0
2101,12,30,2015-04-07,Eibar,3,31,14,1,0,0
2102,12,30,2015-04-07,Levante,0,28,15,0,1,0
2103,12,30,2015-04-07,Sociedad,0,37,11,0,1,0
2100,12,30,2015-04-07,Ath Madrid,3,65,3,3,0,0
2110,12,30,2015-04-08,Almeria,0,25,18,0,3,0
2107,12,30,2015-04-08,Granada,1,24,19,0,0,1
2108,12,30,2015-04-08,La Coruna,1,27,17,0,0,1
2106,12,30,2015-04-08,Barcelona,3,74,1,6,0,0
2111,12,30,2015-04-08,Celta,1,36,12,0,0,1
2113,12,30,2015-04-08,Real Madrid,3,70,2,2,0,0
2109,12,30,2015-04-08,Vallecano,0,38,9,0,1,0
2112,12,30,2015-04-08,Cordoba,1,19,20,0,0,1
2119,12,30,2015-04-09,Espanol,3,38,9,1,0,0
2114,12,30,2015-04-09,Ath Bilbao,1,40,8,0,0,1
2117,12,30,2015-04-09,Valencia,1,62,4,0,0,2
2115,12,30,2015-04-09,Elche,0,28,15,0,1,0
2118,12,30,2015-04-09,Getafe,3,35,13,2,0,0
2116,12,30,2015-04-09,Villarreal,0,50,6,0,1,0
2120,12,31,2015-04-11,Almeria,3,28,16,1,0,0
2125,12,31,2015-04-11,Granada,0,24,19,0,1,0
2122,12,31,2015-04-11,Malaga,1,46,7,0,0,1
2124,12,31,2015-04-11,Sevilla,1,62,5,0,0,1
2129,12,31,2015-04-11,Barcelona,1,75,1,0,0,1
2121,12,31,2015-04-11,Celta,3,39,10,1,0,0
2128,12,31,2015-04-11,Eibar,0,31,14,0,1,0
2123,12,31,2015-04-11,Real Madrid,3,73,2,3,0,0
2126,12,31,2015-04-11,Vallecano,0,38,11,0,2,0
2127,12,31,2015-04-11,Ath Madrid,1,66,3,0,0,1
2131,12,31,2015-04-12,Espanol,3,41,8,2,0,0
2137,12,31,2015-04-12,La Coruna,1,28,16,0,0,2
2135,12,31,2015-04-12,Ath Bilbao,0,40,9,0,1,0
2134,12,31,2015-04-12,Elche,3,31,14,1,0,0
2132,12,31,2015-04-12,Getafe,1,36,13,0,0,1
2133,12,31,2015-04-12,Sociedad,1,38,11,0,0,1
2136,12,31,2015-04-12,Villarreal,1,51,6,0,0,1
2130,12,31,2015-04-12,Cordoba,0,19,20,0,1,0
2138,12,31,2015-04-13,Valencia,3,65,4,1,0,0
2139,12,31,2015-04-13,Levante,0,28,16,0,2,0
2141,12,32,2015-04-17,Espanol,1,42,9,0,0,1
2140,12,32,2015-04-17,Levante,1,29,16,0,0,1
2149,12,32,2015-04-18,Malaga,0,46,7,0,1,0
2144,12,32,2015-04-18,La Coruna,0,28,17,0,1,0
2142,12,32,2015-04-18,Ath Bilbao,3,43,8,1,0,0
2147,12,32,2015-04-18,Valencia,0,65,4,0,1,0
2143,12,32,2015-04-18,Barcelona,3,78,1,1,0,0
2146,12,32,2015-04-18,Getafe,0,36,13,0,1,0
2145,12,32,2015-04-18,Real Madrid,3,76,2,4,0,0
2148,12,32,2015-04-18,Ath Madrid,3,69,3,1,0,0
2156,12,32,2015-04-19,Almeria,0,28,17,0,1,0
2151,12,32,2015-04-19,Granada,1,25,19,0,0,1
2155,12,32,2015-04-19,Sevilla,1,63,5,0,0,2
2154,12,32,2015-04-19,Celta,3,42,9,2,0,0
2150,12,32,2015-04-19,Eibar,0,31,15,0,2,0
2153,12,32,2015-04-19,Villarreal,1,52,6,0,0,2
2152,12,32,2015-04-19,Vallecano,3,41,11,1,0,0
2157,12,32,2015-04-19,Cordoba,1,20,20,0,0,1
2158,12,32,2015-04-20,Elche,3,34,14,2,0,0
2159,12,32,2015-04-20,Sociedad,0,38,12,0,1,0
2161,12,33,2015-04-24,Ath Bilbao,3,46,8,2,0,0
2160,12,33,2015-04-24,Cordoba,0,20,20,0,1,0
2163,12,33,2015-04-25,Espanol,0,42,9,0,1,0
2167,12,33,2015-04-25,Barcelona,3,81,1,2,0,0
2168,12,33,2015-04-25,Levante,3,32,15,1,0,0
2166,12,33,2015-04-25,Elche,0,34,14,0,1,0
2164,12,33,2015-04-25,Getafe,0,36,13,0,2,0
2165,12,33,2015-04-25,Sociedad,1,39,12,0,0,1
2169,12,33,2015-04-25,Villarreal,1,53,6,0,0,3
2162,12,33,2015-04-25,Ath Madrid,3,72,3,2,0,0
2170,12,33,2015-04-26,Almeria,3,31,16,1,0,0
2172,12,33,2015-04-26,Malaga,1,47,7,0,0,1
2173,12,33,2015-04-26,Sevilla,3,66,5,1,0,0
2176,12,33,2015-04-26,La Coruna,1,29,18,0,0,1
2171,12,33,2015-04-26,Celta,0,42,9,0,1,0
2174,12,33,2015-04-26,Eibar,0,31,16,0,3,0
2175,12,33,2015-04-26,Real Madrid,3,79,2,5,0,0
2177,12,33,2015-04-26,Vallecano,0,41,11,0,1,0
2179,12,33,2015-04-27,Granada,0,25,19,0,1,0
2178,12,33,2015-04-27,Valencia,3,68,4,1,0,0
2180,12,34,2015-04-28,Ath Bilbao,1,47,7,0,0,1
2181,12,34,2015-04-28,Barcelona,3,84,1,3,0,0
2182,12,34,2015-04-28,Levante,3,35,15,2,0,0
2184,12,34,2015-04-28,Getafe,0,36,14,0,3,0
2183,12,34,2015-04-28,Sociedad,1,40,12,0,0,2
2185,12,34,2015-04-28,Cordoba,0,20,20,0,2,0
2194,12,34,2015-04-29,Almeria,0,31,16,0,1,0
2191,12,34,2015-04-29,Malaga,0,47,7,0,1,0
2192,12,34,2015-04-29,Sevilla,3,69,4,2,0,0
2193,12,34,2015-04-29,La Coruna,0,29,18,0,1,0
2186,12,34,2015-04-29,Celta,3,45,9,1,0,0
2187,12,34,2015-04-29,Eibar,0,31,16,0,4,0
2188,12,34,2015-04-29,Elche,3,37,13,1,0,0
2190,12,34,2015-04-29,Villarreal,0,53,6,0,1,0
2189,12,34,2015-04-29,Real Madrid,3,82,2,6,0,0
2195,12,34,2015-04-29,Ath Madrid,3,75,3,3,0,0
2196,12,34,2015-04-30,Granada,0,25,19,0,2,0
2198,12,34,2015-04-30,Espanol,3,45,9,1,0,0
2199,12,34,2015-04-30,Valencia,1,69,4,0,0,1
2197,12,34,2015-04-30,Vallecano,1,42,11,0,0,1
2201,12,35,2015-05-01,Levante,0,35,15,0,1,0
2200,12,35,2015-05-01,Sociedad,3,43,11,1,0,0
2205,12,35,2015-05-02,Sevilla,0,69,5,0,1,0
2204,12,35,2015-05-02,La Coruna,1,30,18,0,0,1
2206,12,35,2015-05-02,Ath Bilbao,1,48,7,0,0,2
2207,12,35,2015-05-02,Barcelona,3,87,1,4,0,0
2208,12,35,2015-05-02,Villarreal,1,54,6,0,0,1
2209,12,35,2015-05-02,Real Madrid,3,85,2,7,0,0
2203,12,35,2015-05-02,Cordoba,0,20,20,0,3,0
2202,12,35,2015-05-02,Ath Madrid,1,76,3,0,0,1
2215,12,35,2015-05-03,Granada,3,28,19,1,0,0
2212,12,35,2015-05-03,Malaga,0,47,8,0,2,0
2210,12,35,2015-05-03,Espanol,1,46,9,0,0,1
2213,12,35,2015-05-03,Valencia,3,72,4,1,0,0
2217,12,35,2015-05-03,Eibar,0,31,17,0,5,0
2216,12,35,2015-05-03,Elche,3,40,13,2,0,0
2211,12,35,2015-05-03,Getafe,0,36,14,0,4,0
2214,12,35,2015-05-03,Vallecano,1,43,11,0,0,2
2218,12,35,2015-05-04,Almeria,1,32,16,0,0,1
2219,12,35,2015-05-04,Celta,1,46,9,0,0,1
2221,12,36,2015-05-08,Espanol,3,49,8,1,0,0
2220,12,36,2015-05-08,Eibar,0,31,17,0,6,0
2224,12,36,2015-05-09,Granada,3,31,17,2,0,0
2226,12,36,2015-05-09,La Coruna,1,31,17,0,0,2
2222,12,36,2015-05-09,Ath Bilbao,1,49,8,0,0,3
2229,12,36,2015-05-09,Valencia,1,73,4,0,0,1
2223,12,36,2015-05-09,Barcelona,3,90,1,5,0,0
2227,12,36,2015-05-09,Sociedad,0,43,12,0,1,0
2225,12,36,2015-05-09,Real Madrid,1,86,2,0,0,1
2228,12,36,2015-05-09,Cordoba,0,20,20,0,4,0
2230,12,36,2015-05-10,Almeria,0,32,16,0,1,0
2234,12,36,2015-05-10,Malaga,3,50,7,1,0,0
2235,12,36,2015-05-10,Sevilla,1,70,5,0,0,1
2231,12,36,2015-05-10,Celta,1,47,10,0,0,2
2232,12,36,2015-05-10,Levante,1,36,14,0,0,1
2237,12,36,2015-05-10,Elche,0,40,13,0,1,0
2233,12,36,2015-05-10,Villarreal,3,57,6,1,0,0
2236,12,36,2015-05-10,Ath Madrid,1,77,3,0,0,2
2239,12,36,2015-05-11,Getafe,0,36,14,0,5,0
2238,12,36,2015-05-11,Vallecano,3,46,11,1,0,0
2256,12,37,2015-05-17,Almeria,0,32,18,0,2,0
2257,12,37,2015-05-17,Granada,3,34,16,3,0,0
2259,12,37,2015-05-17,Malaga,0,50,8,0,1,0
2246,12,37,2015-05-17,Sevilla,3,73,5,1,0,0
2243,12,37,2015-05-17,Espanol,0,49,9,0,1,0
2245,12,37,2015-05-17,La Coruna,3,34,16,1,0,0
2252,12,37,2015-05-17,Ath Bilbao,3,52,7,1,0,0
2248,12,37,2015-05-17,Valencia,1,74,4,0,0,2
2250,12,37,2015-05-17,Barcelona,3,93,1,6,0,0
2258,12,37,2015-05-17,Celta,1,48,11,0,0,3
2254,12,37,2015-05-17,Eibar,1,32,18,0,0,1
2255,12,37,2015-05-17,Levante,0,36,15,0,1,0
2242,12,37,2015-05-17,Elche,0,40,13,0,2,0
2244,12,37,2015-05-17,Getafe,1,37,14,0,0,1
2247,12,37,2015-05-17,Sociedad,0,43,12,0,2,0
2249,12,37,2015-05-17,Villarreal,3,60,6,2,0,0
2253,12,37,2015-05-17,Real Madrid,3,89,2,1,0,0
2251,12,37,2015-05-17,Vallecano,3,49,9,2,0,0
2241,12,37,2015-05-17,Cordoba,0,20,20,0,5,0
2240,12,37,2015-05-17,Ath Madrid,0,77,3,0,1,0
2260,12,38,2015-05-23,Almeria,0,32,19,0,3,0
2265,12,38,2015-05-23,Granada,1,35,16,0,0,1
2267,12,38,2015-05-23,Malaga,0,50,9,0,2,0
2277,12,38,2015-05-23,Sevilla,3,76,5,2,0,0
2273,12,38,2015-05-23,Espanol,0,49,10,0,2,0
2272,12,38,2015-05-23,La Coruna,1,35,16,0,0,1
2261,12,38,2015-05-23,Ath Bilbao,3,55,7,2,0,0
2270,12,38,2015-05-23,Valencia,3,77,4,1,0,0
2262,12,38,2015-05-23,Barcelona,1,94,1,0,0,1
2263,12,38,2015-05-23,Celta,3,51,8,1,0,0
2264,12,38,2015-05-23,Eibar,3,35,16,1,0,0
2266,12,38,2015-05-23,Levante,1,37,14,0,0,1
2276,12,38,2015-05-23,Elche,1,41,13,0,0,1
2278,12,38,2015-05-23,Getafe,0,37,14,0,1,0
2279,12,38,2015-05-23,Sociedad,3,46,12,1,0,0
2271,12,38,2015-05-23,Villarreal,0,60,6,0,1,0
2268,12,38,2015-05-23,Real Madrid,3,92,2,2,0,0
2269,12,38,2015-05-23,Vallecano,0,49,10,0,1,0
2274,12,38,2015-05-23,Cordoba,0,20,20,0,6,0
2275,12,38,2015-05-23,Ath Madrid,1,78,3,0,0,1
2280,13,1,2014-08-23,Almeria,1,1,8,0,0,1
2281,13,1,2014-08-23,Granada,3,3,1,1,0,0
2282,13,1,2014-08-23,Malaga,3,3,1,1,0,0
2283,13,1,2014-08-23,Sevilla,1,1,8,0,0,1
2284,13,1,2014-08-23,Espanol,1,1,8,0,0,1
2285,13,1,2014-08-23,La Coruna,0,0,14,0,1,0
2286,13,1,2014-08-23,Ath Bilbao,0,0,14,0,1,0
2287,13,1,2014-08-23,Valencia,1,1,8,0,0,1
2288,13,1,2014-08-24,Barcelona,3,3,1,1,0,0
2289,13,1,2014-08-24,Celta,3,3,1,2,0,0
2290,13,1,2014-08-24,Eibar,3,3,1,2,0,0
2291,13,1,2014-08-24,Levante,0,0,14,0,1,0
2292,13,1,2014-08-24,Elche,0,0,14,0,1,0
2293,13,1,2014-08-24,Getafe,0,0,14,0,2,0
2294,13,1,2014-08-24,Sociedad,0,0,14,0,1,0
2295,13,1,2014-08-24,Villarreal,3,3,1,1,0,0
2296,13,1,2014-08-25,Real Madrid,3,3,1,3,0,0
2297,13,1,2014-08-25,Vallecano,1,1,8,0,0,1
2298,13,1,2014-08-25,Cordoba,0,0,14,0,7,0
2299,13,1,2014-08-25,Ath Madrid,1,1,8,0,0,2
2302,13,2,2014-08-29,Almeria,0,1,15,0,1,0
2303,13,2,2014-08-29,Malaga,0,3,7,0,1,0
2301,13,2,2014-08-29,Valencia,3,4,2,1,0,0
2300,13,2,2014-08-29,Getafe,3,3,7,1,0,0
2311,13,2,2014-08-30,Sevilla,3,4,2,1,0,0
2307,13,2,2014-08-30,Espanol,0,1,15,0,1,0
2304,13,2,2014-08-30,Ath Bilbao,3,3,7,1,0,0
2310,13,2,2014-08-30,Celta,1,4,2,0,0,1
2309,13,2,2014-08-30,Eibar,0,3,7,0,1,0
2308,13,2,2014-08-30,Levante,0,0,20,0,2,0
2306,13,2,2014-08-30,Cordoba,1,1,15,0,0,1
2305,13,2,2014-08-30,Ath Madrid,3,4,2,1,0,0
2316,13,2,2014-08-31,Granada,1,4,2,0,0,1
2313,13,2,2014-08-31,La Coruna,1,1,15,0,0,1
2319,13,2,2014-08-31,Barcelona,3,6,1,2,0,0
2312,13,2,2014-08-31,Elche,1,1,15,0,0,1
2314,13,2,2014-08-31,Sociedad,3,3,7,1,0,0
2315,13,2,2014-08-31,Villarreal,0,3,7,0,1,0
2318,13,2,2014-08-31,Real Madrid,0,3,7,0,1,0
2317,13,2,2014-08-31,Vallecano,1,2,14,0,0,2
2320,13,3,2014-09-12,Almeria,1,2,16,0,0,1
2321,13,3,2014-09-12,Cordoba,1,2,16,0,0,2
2324,13,3,2014-09-13,Malaga,1,4,7,0,0,1
2326,13,3,2014-09-13,Ath Bilbao,0,3,12,0,1,0
2322,13,3,2014-09-13,Barcelona,3,9,1,3,0,0
2323,13,3,2014-09-13,Celta,1,5,5,0,0,2
2328,13,3,2014-09-13,Levante,1,1,19,0,0,1
2327,13,3,2014-09-13,Sociedad,1,4,7,0,0,1
2325,13,3,2014-09-13,Real Madrid,0,3,12,0,2,0
2329,13,3,2014-09-13,Ath Madrid,3,7,2,2,0,0
2330,13,3,2014-09-14,Granada,1,5,5,0,0,2
2331,13,3,2014-09-14,Sevilla,3,7,2,2,0,0
2336,13,3,2014-09-14,Espanol,0,1,19,0,2,0
2332,13,3,2014-09-14,Valencia,3,7,2,2,0,0
2337,13,3,2014-09-14,Elche,3,4,7,1,0,0
2335,13,3,2014-09-14,Getafe,0,3,12,0,1,0
2334,13,3,2014-09-14,Villarreal,1,4,7,0,0,1
2333,13,3,2014-09-14,Vallecano,0,2,16,0,1,0
2339,13,3,2014-09-15,La Coruna,3,4,7,1,0,0
2338,13,3,2014-09-15,Eibar,0,3,12,0,2,0
2341,13,4,2014-09-19,Eibar,3,6,7,1,0,0
2340,13,4,2014-09-19,Elche,0,4,12,0,1,0
2346,13,4,2014-09-20,Granada,3,8,4,1,0,0
2348,13,4,2014-09-20,Malaga,1,5,10,0,0,2
2344,13,4,2014-09-20,Espanol,1,2,17,0,0,1
2345,13,4,2014-09-20,La Coruna,0,4,12,0,1,0
2342,13,4,2014-09-20,Ath Bilbao,0,3,15,0,2,0
2347,13,4,2014-09-20,Celta,1,6,7,0,0,3
2349,13,4,2014-09-20,Real Madrid,3,6,7,1,0,0
2343,13,4,2014-09-20,Ath Madrid,1,8,4,0,0,1
2356,13,4,2014-09-21,Almeria,3,5,10,1,0,0
2354,13,4,2014-09-21,Sevilla,3,10,2,3,0,0
2355,13,4,2014-09-21,Barcelona,3,12,1,4,0,0
2351,13,4,2014-09-21,Levante,0,1,20,0,1,0
2352,13,4,2014-09-21,Sociedad,0,4,12,0,1,0
2353,13,4,2014-09-21,Villarreal,3,7,6,1,0,0
2357,13,4,2014-09-21,Vallecano,0,2,17,0,2,0
2350,13,4,2014-09-21,Cordoba,0,2,17,0,1,0
2359,13,4,2014-09-22,Valencia,3,10,2,3,0,0
2358,13,4,2014-09-22,Getafe,0,3,15,0,2,0
2362,13,5,2014-09-23,La Coruna,0,4,14,0,2,0
2360,13,5,2014-09-23,Celta,3,9,5,1,0,0
2363,13,5,2014-09-23,Elche,0,4,14,0,2,0
2361,13,5,2014-09-23,Real Madrid,3,9,5,2,0,0
2364,13,5,2014-09-24,Almeria,0,5,11,0,1,0
2366,13,5,2014-09-24,Granada,0,8,7,0,1,0
2367,13,5,2014-09-24,Malaga,1,6,10,0,0,3
2368,13,5,2014-09-24,Sevilla,3,13,1,4,0,0
2375,13,5,2014-09-24,Ath Bilbao,0,3,18,0,3,0
2373,13,5,2014-09-24,Barcelona,1,13,1,0,0,1
2365,13,5,2014-09-24,Eibar,1,7,9,0,0,1
2372,13,5,2014-09-24,Levante,3,4,14,1,0,0
2374,13,5,2014-09-24,Sociedad,0,4,14,0,2,0
2371,13,5,2014-09-24,Villarreal,1,8,7,0,0,1
2369,13,5,2014-09-24,Vallecano,3,5,11,1,0,0
2370,13,5,2014-09-24,Ath Madrid,3,11,4,1,0,0
2376,13,5,2014-09-25,Espanol,3,5,11,1,0,0
2377,13,5,2014-09-25,Valencia,3,13,1,4,0,0
2378,13,5,2014-09-25,Getafe,0,3,18,0,3,0
2379,13,5,2014-09-25,Cordoba,0,2,20,0,2,0
2381,13,6,2014-09-26,Celta,3,12,5,2,0,0
2380,13,6,2014-09-26,Elche,0,4,16,0,3,0
2389,13,6,2014-09-27,Granada,0,8,7,0,2,0
2388,13,6,2014-09-27,Sevilla,0,13,4,0,1,0
2382,13,6,2014-09-27,Ath Bilbao,1,4,16,0,0,1
2384,13,6,2014-09-27,Barcelona,3,16,1,1,0,0
2387,13,6,2014-09-27,Eibar,1,8,7,0,0,2
2385,13,6,2014-09-27,Levante,0,4,16,0,1,0
2386,13,6,2014-09-27,Villarreal,0,8,7,0,1,0
2391,13,6,2014-09-27,Real Madrid,3,12,5,3,0,0
2390,13,6,2014-09-27,Vallecano,3,8,7,2,0,0
2383,13,6,2014-09-27,Ath Madrid,3,14,2,2,0,0
2398,13,6,2014-09-28,Almeria,3,8,7,1,0,0
2397,13,6,2014-09-28,Malaga,0,6,12,0,1,0
2396,13,6,2014-09-28,Espanol,1,6,12,0,0,1
2394,13,6,2014-09-28,La Coruna,0,4,16,0,3,0
2399,13,6,2014-09-28,Valencia,1,14,2,0,0,1
2393,13,6,2014-09-28,Getafe,3,6,12,1,0,0
