,date,home_team,home_goals_offense,home_goals_defense,home_offense,home_in_game,home_defense,away_team,away_goals_offense,away_goals_defense,away_offense,away_in_game,away_defense,result
66,2010-10-17,Mallorca,0.83,1.0,0.41,0.61,0.37,Espanol,0.76,1.0,0.68,0.4,0.59,0.0
67,2010-10-17,Santander,0.62,1.0,0.67,0.52,0.52,Almeria,0.71,0.8,0.49,0.6,0.44,1.0
68,2010-10-17,Sp Gijon,1.18,1.5,0.54,0.49,0.47,Sevilla,1.32,1.3,0.69,0.58,0.53,1.0
69,2010-10-18,Hercules,1.03,1.3,0.51,0.44,0.25,Villarreal,2.03,0.9,0.64,0.52,0.51,0.5
70,2010-10-23,Real Madrid,3.32,0.6,0.84,0.61,0.72,Santander,0.62,1.9,0.64,0.54,0.41,1.0
71,2010-10-23,Valencia,1.53,1.1,0.61,0.48,0.45,Mallorca,0.92,1.1,0.43,0.6,0.38,0.0
72,2010-10-23,Zaragoza,0.73,1.7,0.53,0.4,0.44,Barcelona,1.76,0.7,0.85,0.68,0.62,0.0
73,2010-10-24,Almeria,0.76,0.9,0.53,0.6,0.46,Hercules,1.0,1.2,0.5,0.47,0.27,0.5
74,2010-10-24,Espanol,0.94,1.1,0.68,0.4,0.58,Levante,1.03,1.4,0.39,0.52,0.3,1.0
75,2010-10-24,Getafe,1.67,1.1,0.68,0.49,0.46,Sp Gijon,0.97,1.7,0.49,0.52,0.43,1.0
76,2010-10-24,Osasuna,1.08,0.7,0.5,0.48,0.5,Malaga,1.4,2.4,0.45,0.48,0.15,1.0
77,2010-10-24,Sevilla,1.76,1.6,0.75,0.55,0.47,Ath Bilbao,1.85,1.9,0.64,0.49,0.34,1.0
78,2010-10-24,Villarreal,2.0,0.8,0.61,0.54,0.55,Ath Madrid,1.3,1.2,0.42,0.43,0.3,1.0
79,2010-10-25,Sociedad,1.28,1.3,0.53,0.66,0.35,La Coruna,0.32,2.1,0.53,0.62,0.38,1.0
80,2010-10-30,Barcelona,2.35,0.6,0.9,0.68,0.64,Sevilla,1.49,2.2,0.62,0.53,0.42,1.0
81,2010-10-30,Hercules,1.09,1.5,0.47,0.52,0.23,Real Madrid,3.24,0.7,0.8,0.61,0.73,0.0
82,2010-10-30,Valencia,1.45,1.1,0.6,0.48,0.48,Zaragoza,0.77,1.6,0.53,0.37,0.47,0.5
83,2010-10-31,Ath Bilbao,2.0,1.7,0.65,0.51,0.41,Getafe,1.45,1.3,0.61,0.49,0.41,1.0
84,2010-10-31,Ath Madrid,1.27,1.1,0.5,0.45,0.34,Almeria,0.83,0.9,0.51,0.61,0.41,0.5
85,2010-10-31,La Coruna,0.74,1.7,0.55,0.62,0.43,Espanol,0.87,1.3,0.62,0.42,0.56,1.0
86,2010-10-31,Malaga,1.3,2.5,0.46,0.5,0.21,Sociedad,1.42,1.2,0.51,0.65,0.34,0.0
87,2010-10-31,Santander,1.16,1.8,0.67,0.55,0.48,Osasuna,0.97,1.2,0.48,0.49,0.44,1.0
88,2010-10-31,Sp Gijon,1.0,1.6,0.49,0.5,0.47,Villarreal,1.9,0.9,0.58,0.52,0.54,0.5
89,2010-11-01,Mallorca,1.15,0.9,0.46,0.6,0.41,Levante,1.03,1.6,0.39,0.53,0.3,1.0
90,2010-11-06,Espanol,0.88,1.2,0.63,0.44,0.6,Malaga,1.05,2.2,0.44,0.5,0.23,1.0
91,2010-11-06,Sociedad,1.46,0.9,0.49,0.65,0.38,Santander,1.07,1.8,0.61,0.53,0.49,1.0
92,2010-11-07,Almeria,0.82,0.9,0.5,0.6,0.43,Sp Gijon,1.03,1.5,0.5,0.52,0.49,0.5
93,2010-11-07,Getafe,1.45,1.6,0.61,0.47,0.4,Barcelona,2.43,0.6,0.84,0.66,0.62,0.0
94,2010-11-07,Levante,1.06,1.8,0.41,0.54,0.31,La Coruna,1.01,1.6,0.53,0.63,0.44,0.0
95,2010-11-07,Osasuna,1.37,1.0,0.5,0.5,0.51,Hercules,0.85,1.9,0.44,0.51,0.24,1.0
96,2010-11-07,Real Madrid,3.25,0.6,0.79,0.62,0.71,Ath Madrid,1.05,1.4,0.5,0.47,0.31,1.0
97,2010-11-07,Villarreal,2.15,0.8,0.64,0.52,0.54,Ath Bilbao,1.91,2.0,0.6,0.47,0.35,1.0
98,2010-11-07,Zaragoza,1.15,1.7,0.57,0.39,0.47,Mallorca,1.28,1.3,0.45,0.57,0.39,1.0
99,2010-11-08,Sevilla,1.7,1.9,0.67,0.55,0.47,Valencia,1.21,1.3,0.57,0.48,0.43,1.0
100,2010-11-13,Ath Bilbao,1.85,1.8,0.6,0.45,0.4,Almeria,0.73,1.0,0.47,0.59,0.43,1.0
101,2010-11-13,Ath Madrid,1.21,1.1,0.56,0.49,0.33,Osasuna,1.21,1.4,0.47,0.49,0.45,1.0
102,2010-11-13,Barcelona,2.59,0.7,0.81,0.65,0.63,Villarreal,2.12,1.2,0.58,0.52,0.51,1.0
103,2010-11-14,Hercules,1.12,1.7,0.47,0.52,0.28,Sociedad,1.39,1.2,0.5,0.66,0.37,1.0
104,2010-11-14,Malaga,1.09,1.8,0.46,0.51,0.27,Levante,0.91,1.5,0.41,0.53,0.33,1.0
105,2010-11-14,Mallorca,1.15,1.2,0.45,0.59,0.43,La Coruna,0.95,1.2,0.49,0.64,0.46,0.5
106,2010-11-14,Santander,1.03,1.3,0.59,0.53,0.51,Espanol,0.63,1.1,0.59,0.45,0.6,0.5
107,2010-11-14,Sp Gijon,0.91,1.2,0.48,0.47,0.49,Real Madrid,2.84,0.5,0.77,0.63,0.7,0.0
